,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
380,380,0.5533583892958893,2024-01-04 14:08:43.574367,2024-01-04 14:08:45.966045,0 days 00:00:02.391678,13,0.8130616751210406,7,34,COMPLETE
210,210,0.5531676078551079,2024-01-04 14:02:24.475424,2024-01-04 14:02:26.692321,0 days 00:00:02.216897,9,0.4914671584724533,9,27,COMPLETE
915,915,0.5531676078551079,2024-01-04 14:28:39.886031,2024-01-04 14:28:42.090114,0 days 00:00:02.204083,9,0.4944627178345401,9,27,COMPLETE
938,938,0.5530658577533578,2024-01-04 14:29:30.247942,2024-01-04 14:29:32.724616,0 days 00:00:02.476674,10,0.5273666150067067,8,34,COMPLETE
758,758,0.5529895451770452,2024-01-04 14:22:44.499603,2024-01-04 14:22:46.683766,0 days 00:00:02.184163,32,0.37553429259054816,9,26,COMPLETE
72,72,0.5529895451770452,2024-01-04 13:56:49.068843,2024-01-04 13:56:51.221557,0 days 00:00:02.152714,8,0.371246298314165,9,26,COMPLETE
311,311,0.552601622914123,2024-01-04 14:06:09.320690,2024-01-04 14:06:11.654650,0 days 00:00:02.333960,24,0.7336745767548116,8,32,COMPLETE
783,783,0.5524617165242165,2024-01-04 14:23:40.266364,2024-01-04 14:23:42.363334,0 days 00:00:02.096970,8,0.427505496570269,8,24,COMPLETE
197,197,0.5524617165242165,2024-01-04 14:01:56.254215,2024-01-04 14:01:58.357209,0 days 00:00:02.102994,9,0.44246367384870483,8,24,COMPLETE
841,841,0.5523472476597476,2024-01-04 14:25:52.491494,2024-01-04 14:25:54.556991,0 days 00:00:02.065497,19,0.4910673659062917,9,22,COMPLETE
914,914,0.5522900132275133,2024-01-04 14:28:37.625703,2024-01-04 14:28:39.884722,0 days 00:00:02.259019,7,0.5129315429044001,8,30,COMPLETE
698,698,0.5521723646723647,2024-01-04 14:20:35.219657,2024-01-04 14:20:37.308480,0 days 00:00:02.088823,14,0.5275776072557543,9,23,COMPLETE
940,940,0.5520706145706146,2024-01-04 14:29:34.677861,2024-01-04 14:29:36.743335,0 days 00:00:02.065474,28,0.8089002708219628,8,22,COMPLETE
874,874,0.5520642551892552,2024-01-04 14:27:05.912469,2024-01-04 14:27:08.209601,0 days 00:00:02.297132,9,0.45483402963282105,7,26,COMPLETE
897,897,0.5520610754985754,2024-01-04 14:27:59.524483,2024-01-04 14:28:03.039372,0 days 00:00:03.514889,31,0.4946401494415389,8,69,COMPLETE
478,478,0.551933887871388,2024-01-04 14:12:26.296792,2024-01-04 14:12:27.781900,0 days 00:00:01.485108,17,0.47382740558960346,8,2,COMPLETE
502,502,0.5515904812779813,2024-01-04 14:13:21.093925,2024-01-04 14:13:23.452881,0 days 00:00:02.358956,15,0.5197667145078192,8,33,COMPLETE
